"11ay -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and sex, whole population and persons aged 15-64, 1971-2024"

"Sex","Underlying cause of death (time series classification)","Year","Deaths, whole population","Age-standardised death rate, whole population (1/100 000)","Crude death rate, whole population (1/100 000)","Age-standardised death rate, whole population, annual change (%)","Deaths, aged 15-64","Age-standardised death rate, aged 15-64 (1/100 000)","Crude death rate, aged 15-64 (1/100 000)","Age-standardised death rate, aged 15-64, annual change (%)"
"Total","01 Tuberculosis (A15-A19, B90, J65)","2016",26,0.5,0.5,-16.7,2,0.1,0.1,..
"Total","01 Tuberculosis (A15-A19, B90, J65)","2017",35,0.6,0.6,20.0,2,0.1,0.1,0.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2018",31,0.5,0.6,-16.7,1,0.0,0.0,-100.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2019",29,0.5,0.5,0.0,0,0.0,0.0,..
"Total","01 Tuberculosis (A15-A19, B90, J65)","2020",21,0.4,0.4,-20.0,3,0.1,0.1,..
"Total","01 Tuberculosis (A15-A19, B90, J65)","2021",24,0.4,0.4,0.0,2,0.1,0.1,0.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2022",18,0.3,0.3,-25.0,1,0.0,0.0,-100.0
"Total","01 Tuberculosis (A15-A19, B90, J65)","2023",20,0.3,0.4,0.0,1,0.0,0.0,..
"Total","01 Tuberculosis (A15-A19, B90, J65)","2024",18,0.3,0.3,0.0,2,0.1,0.1,..
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2000",10,0.2,0.2,0.0,10,0.3,0.3,50.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2001",3,0.1,0.1,-50.0,3,0.1,0.1,-66.7
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2002",7,0.1,0.1,0.0,7,0.2,0.2,100.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2003",8,0.1,0.2,0.0,8,0.2,0.2,0.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2004",8,0.2,0.2,100.0,7,0.2,0.2,0.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2005",9,0.2,0.2,0.0,9,0.3,0.3,50.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2006",9,0.2,0.2,0.0,8,0.2,0.2,-33.3
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2007",11,0.2,0.2,0.0,11,0.3,0.3,50.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2008",7,0.1,0.1,-50.0,7,0.2,0.2,-33.3
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2009",3,0.1,0.1,0.0,3,0.1,0.1,-50.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2010",7,0.1,0.1,0.0,7,0.2,0.2,100.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2011",5,0.1,0.1,0.0,4,0.1,0.1,-50.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2012",7,0.1,0.1,0.0,6,0.2,0.2,100.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2013",4,0.1,0.1,0.0,3,0.1,0.1,-50.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2014",3,0.1,0.1,0.0,3,0.1,0.1,0.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2015",0,0.0,0.0,-100.0,0,0.0,0.0,-100.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2016",8,0.2,0.1,..,8,0.2,0.2,..
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2017",6,0.1,0.1,-50.0,4,0.1,0.1,-50.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2018",3,0.1,0.1,0.0,2,0.1,0.1,0.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2019",3,0.1,0.1,0.0,2,0.1,0.1,0.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2020",2,0.0,0.0,-100.0,1,0.0,0.0,-100.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2021",4,0.1,0.1,..,2,0.1,0.1,..
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2022",6,0.1,0.1,0.0,3,0.1,0.1,0.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2023",4,0.1,0.1,0.0,2,0.1,0.1,0.0
"Total","02 Human  immunodeficiency virus (HIV) disease (B20-B24)","2024",2,0.0,0.0,-100.0,2,0.1,0.1,0.0
